No,House Type,Address,Township,District,Bed Room,Single Room,Lat/Long,Price (THB)/Per Month,Map Location,Remark
2150,Detached,"2250 Moo 3, Chiang Mai",San Sai,San Na Meng,2,3,"18.699075, 98.860518",8490,"https://www.google.com/maps?q=18.699075,98.860518",New listing
2151,Apartment,"2251 Moo 1, Chiang Mai",Doi Saket,San Na Meng,4,1,"18.965572, 98.827119",9090,"https://www.google.com/maps?q=18.965572,98.827119",Near market
2152,Townhouse,"2252 Moo 6, Chiang Mai",Doi Tao,San Na Meng,1,3,"18.943366, 98.915506",12155,"https://www.google.com/maps?q=18.943366,98.915506",Urgent sale
2153,Townhouse,"2253 Moo 6, Chiang Mai",San Kamphaeng,San Sai Luang,5,3,"18.911867, 98.907594",12865,"https://www.google.com/maps?q=18.911867,98.907594",Quiet area
2154,Condo,"2254 Moo 5, Chiang Mai",Doi Tao,Mae Faek,2,2,"18.84528, 98.868379",9663,"https://www.google.com/maps?q=18.84528,98.868379",Great view
2155,Condo,"2255 Moo 10, Chiang Mai",San Kamphaeng,San Na Meng,1,2,"18.767953, 98.967441",10526,"https://www.google.com/maps?q=18.767953,98.967441",Great view
2156,Apartment,"2256 Moo 2, Chiang Mai",Mae Ai,Nong Han,2,1,"18.751244, 98.848418",9274,"https://www.google.com/maps?q=18.751244,98.848418",Price negotiable
2157,Condo,"2257 Moo 5, Chiang Mai",Omkoi,Mae Faek,1,3,"18.928625, 98.862565",10390,"https://www.google.com/maps?q=18.928625,98.862565",Price negotiable
2158,Villa,"2258 Moo 5, Chiang Mai",Chom Thong,Nong Han,1,3,"18.947366, 98.942799",12954,"https://www.google.com/maps?q=18.947366,98.942799",Urgent sale
2159,Bungalow,"2259 Moo 9, Chiang Mai",Doi Tao,San Na Meng,1,2,"18.970029, 98.89829",8721,"https://www.google.com/maps?q=18.970029,98.89829",Near school
2160,Detached,"2260 Moo 2, Chiang Mai",Hang Dong,Nong Han,2,3,"18.874176, 98.865786",8253,"https://www.google.com/maps?q=18.874176,98.865786",New listing
2161,Villa,"2261 Moo 5, Chiang Mai",Mae Chaem,Mae Faek,2,2,"18.839559, 98.863971",9880,"https://www.google.com/maps?q=18.839559,98.863971",Near school
2162,Condo,"2262 Moo 4, Chiang Mai",Wiang Haeng,San Sai Luang,1,3,"18.824663, 99.046258",9765,"https://www.google.com/maps?q=18.824663,99.046258",Price negotiable
2163,Detached,"2263 Moo 8, Chiang Mai",San Sai,San Na Meng,1,1,"18.953996, 98.898987",7399,"https://www.google.com/maps?q=18.953996,98.898987",Urgent sale
2164,Bungalow,"2264 Moo 3, Chiang Mai",San Kamphaeng,Nong Han,2,1,"18.629892, 98.906595",11772,"https://www.google.com/maps?q=18.629892,98.906595",Renovated
2165,Detached,"2265 Moo 4, Chiang Mai",Omkoi,Nong Han,2,2,"18.621841, 98.854079",6565,"https://www.google.com/maps?q=18.621841,98.854079",Price negotiable
2166,Bungalow,"2266 Moo 8, Chiang Mai",Mae Taeng,Mae Faek,5,3,"18.717425, 98.96486",8213,"https://www.google.com/maps?q=18.717425,98.96486",Renovated
2167,Apartment,"2267 Moo 6, Chiang Mai",San Sai,San Na Meng,3,3,"18.913681, 98.99008",8818,"https://www.google.com/maps?q=18.913681,98.99008",Renovated
2168,Condo,"2268 Moo 5, Chiang Mai",Mae Rim,San Sai Luang,3,1,"18.989746, 99.005684",12731,"https://www.google.com/maps?q=18.989746,99.005684",Great view
2169,Townhouse,"2269 Moo 7, Chiang Mai",Doi Lo,Nong Han,4,3,"18.94255, 99.019763",7973,"https://www.google.com/maps?q=18.94255,99.019763",Near market
2170,Bungalow,"2270 Moo 9, Chiang Mai",Mueang,Nong Han,1,3,"18.641224, 98.849039",8397,"https://www.google.com/maps?q=18.641224,98.849039",Quiet area
2171,Townhouse,"2271 Moo 10, Chiang Mai",Chom Thong,San Na Meng,2,3,"18.677226, 98.926433",7007,"https://www.google.com/maps?q=18.677226,98.926433",Investment opportunity
2172,Villa,"2272 Moo 2, Chiang Mai",Phrao,Nong Han,5,3,"18.631261, 98.816432",12946,"https://www.google.com/maps?q=18.631261,98.816432",Fully furnished
2173,Bungalow,"2273 Moo 2, Chiang Mai",Mae Taeng,Nong Han,3,3,"18.846632, 99.082081",7438,"https://www.google.com/maps?q=18.846632,99.082081",New listing
2174,Villa,"2274 Moo 10, Chiang Mai",Wiang Haeng,San Na Meng,4,3,"18.77905, 99.097155",10638,"https://www.google.com/maps?q=18.77905,99.097155",Renovated
2175,Townhouse,"2275 Moo 10, Chiang Mai",San Kamphaeng,Nong Han,2,2,"18.649543, 98.965718",7780,"https://www.google.com/maps?q=18.649543,98.965718",Investment opportunity
2176,Condo,"2276 Moo 5, Chiang Mai",Mueang,Nong Han,5,3,"18.957017, 98.97276",6906,"https://www.google.com/maps?q=18.957017,98.97276",Price negotiable
2177,Villa,"2277 Moo 5, Chiang Mai",Mueang,San Sai Luang,1,3,"18.652197, 98.977078",11792,"https://www.google.com/maps?q=18.652197,98.977078",Quiet area
2178,Condo,"2278 Moo 2, Chiang Mai",San Kamphaeng,San Sai Luang,2,2,"18.87317, 98.912647",9299,"https://www.google.com/maps?q=18.87317,98.912647",Quiet area
2179,Detached,"2279 Moo 2, Chiang Mai",Phrao,Nong Han,2,3,"18.736658, 98.829042",9629,"https://www.google.com/maps?q=18.736658,98.829042",Quiet area
2180,Villa,"2280 Moo 5, Chiang Mai",Wiang Haeng,Mae Faek,4,3,"18.951011, 99.066574",10237,"https://www.google.com/maps?q=18.951011,99.066574",Near market
2181,Condo,"2281 Moo 9, Chiang Mai",San Sai,San Na Meng,3,1,"18.979537, 98.966959",9816,"https://www.google.com/maps?q=18.979537,98.966959",Quiet area
2182,Bungalow,"2282 Moo 7, Chiang Mai",Omkoi,San Na Meng,2,1,"18.921421, 99.088027",8014,"https://www.google.com/maps?q=18.921421,99.088027",Near market
2183,Condo,"2283 Moo 3, Chiang Mai",Wiang Haeng,San Sai Luang,5,3,"18.727833, 98.896952",7659,"https://www.google.com/maps?q=18.727833,98.896952",Investment opportunity
2184,Bungalow,"2284 Moo 3, Chiang Mai",Mae Wang,Mae Faek,4,2,"18.854383, 99.055185",10045,"https://www.google.com/maps?q=18.854383,99.055185",Near school
2185,Detached,"2285 Moo 5, Chiang Mai",Doi Lo,San Sai Luang,2,1,"18.887364, 99.092494",7251,"https://www.google.com/maps?q=18.887364,99.092494",Quiet area
2186,Condo,"2286 Moo 9, Chiang Mai",Hot,Nong Han,3,3,"18.657642, 98.877743",7090,"https://www.google.com/maps?q=18.657642,98.877743",Renovated
2187,Townhouse,"2287 Moo 10, Chiang Mai",Chiang Dao,San Sai Luang,1,2,"18.925987, 98.948407",8577,"https://www.google.com/maps?q=18.925987,98.948407",Fully furnished
2188,Townhouse,"2288 Moo 1, Chiang Mai",Hot,Nong Han,3,1,"18.793404, 99.000351",9678,"https://www.google.com/maps?q=18.793404,99.000351",Quiet area
2189,Condo,"2289 Moo 6, Chiang Mai",San Pa Tong,Mae Faek,1,3,"18.7809, 98.97325",12907,"https://www.google.com/maps?q=18.7809,98.97325",Renovated
2190,Condo,"2290 Moo 5, Chiang Mai",Mae On,San Na Meng,2,3,"18.897514, 98.919748",9286,"https://www.google.com/maps?q=18.897514,98.919748",Renovated
2191,Bungalow,"2291 Moo 3, Chiang Mai",Wiang Haeng,Mae Faek,2,3,"18.733277, 98.981562",9722,"https://www.google.com/maps?q=18.733277,98.981562",Near market
2192,Apartment,"2292 Moo 9, Chiang Mai",Mae Taeng,San Sai Luang,4,1,"18.802201, 98.905994",7036,"https://www.google.com/maps?q=18.802201,98.905994",Near school
2193,Townhouse,"2293 Moo 1, Chiang Mai",Mae Wang,Nong Han,1,2,"18.761721, 98.97759",6658,"https://www.google.com/maps?q=18.761721,98.97759",Renovated
2194,Detached,"2294 Moo 10, Chiang Mai",San Kamphaeng,Mae Faek,1,3,"18.999539, 99.03264",7613,"https://www.google.com/maps?q=18.999539,99.03264",Price negotiable
2195,Bungalow,"2295 Moo 6, Chiang Mai",Mae Rim,Nong Han,3,1,"18.777515, 99.068086",11362,"https://www.google.com/maps?q=18.777515,99.068086",Renovated
2196,Townhouse,"2296 Moo 9, Chiang Mai",Omkoi,San Na Meng,4,1,"18.804804, 98.87622",8597,"https://www.google.com/maps?q=18.804804,98.87622",Fully furnished
2197,Condo,"2297 Moo 10, Chiang Mai",Doi Tao,San Sai Luang,5,1,"18.691327, 98.848046",9897,"https://www.google.com/maps?q=18.691327,98.848046",Near market
2198,Detached,"2298 Moo 6, Chiang Mai",Doi Lo,San Sai Luang,2,1,"18.935724, 98.81394",6938,"https://www.google.com/maps?q=18.935724,98.81394",Great view
2199,Detached,"2299 Moo 5, Chiang Mai",Samoeng,San Na Meng,4,2,"18.7344, 98.955178",11286,"https://www.google.com/maps?q=18.7344,98.955178",Fully furnished
2200,Detached,"2300 Moo 3, Chiang Mai",Saraphi,Mae Faek,5,1,"18.685688, 99.068571",6764,"https://www.google.com/maps?q=18.685688,99.068571",Price negotiable
2201,Apartment,"2301 Moo 10, Chiang Mai",Samoeng,San Na Meng,2,1,"18.619801, 98.809556",12333,"https://www.google.com/maps?q=18.619801,98.809556",Near school
2202,Townhouse,"2302 Moo 4, Chiang Mai",Mae Taeng,Mae Faek,2,1,"18.84586, 98.967849",12138,"https://www.google.com/maps?q=18.84586,98.967849",Near school
2203,Townhouse,"2303 Moo 2, Chiang Mai",Chiang Dao,Nong Han,3,2,"18.950081, 98.858187",9764,"https://www.google.com/maps?q=18.950081,98.858187",Near school
2204,Bungalow,"2304 Moo 7, Chiang Mai",Hot,San Na Meng,1,2,"18.974907, 98.890129",10387,"https://www.google.com/maps?q=18.974907,98.890129",Urgent sale
2205,Condo,"2305 Moo 5, Chiang Mai",Mae Wang,Mae Faek,1,3,"18.644283, 98.815193",8720,"https://www.google.com/maps?q=18.644283,98.815193",Price negotiable
2206,Townhouse,"2306 Moo 8, Chiang Mai",Mae Chaem,Mae Faek,3,3,"18.713787, 99.029128",12624,"https://www.google.com/maps?q=18.713787,99.029128",Renovated
2207,Apartment,"2307 Moo 5, Chiang Mai",Omkoi,Mae Faek,5,1,"18.871046, 99.001803",10420,"https://www.google.com/maps?q=18.871046,99.001803",Near market
2208,Apartment,"2308 Moo 7, Chiang Mai",Mae On,Nong Han,1,2,"18.864777, 98.992856",7752,"https://www.google.com/maps?q=18.864777,98.992856",Near market
2209,Bungalow,"2309 Moo 9, Chiang Mai",Mae Wang,Nong Han,2,2,"18.627202, 98.917178",12312,"https://www.google.com/maps?q=18.627202,98.917178",Near school
2210,Townhouse,"2310 Moo 6, Chiang Mai",Doi Lo,Mae Faek,4,3,"18.783574, 99.080425",8454,"https://www.google.com/maps?q=18.783574,99.080425",Investment opportunity
2211,Condo,"2311 Moo 5, Chiang Mai",Mae Wang,San Na Meng,5,3,"18.689843, 98.961714",7339,"https://www.google.com/maps?q=18.689843,98.961714",New listing
2212,Villa,"2312 Moo 4, Chiang Mai",Mae Rim,San Na Meng,1,2,"18.967372, 99.008824",9605,"https://www.google.com/maps?q=18.967372,99.008824",Renovated
2213,Detached,"2313 Moo 9, Chiang Mai",Hang Dong,Mae Faek,5,2,"18.807294, 98.90447",10595,"https://www.google.com/maps?q=18.807294,98.90447",Fully furnished
2214,Detached,"2314 Moo 5, Chiang Mai",San Kamphaeng,San Na Meng,3,1,"18.608828, 99.074718",6960,"https://www.google.com/maps?q=18.608828,99.074718",Renovated
2215,Villa,"2315 Moo 1, Chiang Mai",San Pa Tong,San Sai Luang,5,2,"18.842177, 98.907886",11946,"https://www.google.com/maps?q=18.842177,98.907886",Investment opportunity
2216,Detached,"2316 Moo 7, Chiang Mai",Saraphi,San Na Meng,3,3,"18.828837, 98.826789",9428,"https://www.google.com/maps?q=18.828837,98.826789",Investment opportunity
2217,Villa,"2317 Moo 9, Chiang Mai",San Kamphaeng,San Na Meng,5,3,"18.95612, 98.838965",7051,"https://www.google.com/maps?q=18.95612,98.838965",Price negotiable
2218,Apartment,"2318 Moo 4, Chiang Mai",Saraphi,San Sai Luang,5,1,"18.703212, 99.087542",9985,"https://www.google.com/maps?q=18.703212,99.087542",Fully furnished
2219,Villa,"2319 Moo 4, Chiang Mai",Omkoi,Mae Faek,4,3,"18.918089, 98.826974",12763,"https://www.google.com/maps?q=18.918089,98.826974",Urgent sale
2220,Apartment,"2320 Moo 6, Chiang Mai",Mueang,San Na Meng,1,2,"18.78787, 98.83078",8727,"https://www.google.com/maps?q=18.78787,98.83078",Urgent sale
2221,Townhouse,"2321 Moo 10, Chiang Mai",Hot,San Sai Luang,3,2,"18.832106, 98.816716",10193,"https://www.google.com/maps?q=18.832106,98.816716",Great view
2222,Villa,"2322 Moo 1, Chiang Mai",Mueang,San Na Meng,5,3,"18.684687, 98.925048",9105,"https://www.google.com/maps?q=18.684687,98.925048",Near market
2223,Townhouse,"2323 Moo 2, Chiang Mai",San Kamphaeng,San Sai Luang,1,3,"18.968938, 99.049174",7149,"https://www.google.com/maps?q=18.968938,99.049174",New listing
2224,Apartment,"2324 Moo 5, Chiang Mai",Mae Taeng,San Na Meng,5,2,"18.91254, 99.015296",10984,"https://www.google.com/maps?q=18.91254,99.015296",Quiet area
2225,Condo,"2325 Moo 4, Chiang Mai",Mueang,San Na Meng,3,2,"18.908653, 98.873105",9707,"https://www.google.com/maps?q=18.908653,98.873105",Urgent sale
2226,Detached,"2326 Moo 6, Chiang Mai",Omkoi,San Sai Luang,2,2,"18.729437, 98.838585",9898,"https://www.google.com/maps?q=18.729437,98.838585",New listing
2227,Detached,"2327 Moo 2, Chiang Mai",Mueang,Mae Faek,2,3,"18.922624, 98.952602",11032,"https://www.google.com/maps?q=18.922624,98.952602",Renovated
2228,Apartment,"2328 Moo 1, Chiang Mai",Saraphi,Mae Faek,5,1,"18.908546, 98.821965",10953,"https://www.google.com/maps?q=18.908546,98.821965",Near school
2229,Villa,"2329 Moo 9, Chiang Mai",Mae Chaem,San Sai Luang,5,3,"18.857459, 98.885455",8213,"https://www.google.com/maps?q=18.857459,98.885455",Price negotiable
2230,Apartment,"2330 Moo 1, Chiang Mai",Mae Ai,Mae Faek,5,1,"18.923855, 98.969578",8264,"https://www.google.com/maps?q=18.923855,98.969578",Near market
2231,Townhouse,"2331 Moo 6, Chiang Mai",Hot,Nong Han,1,1,"18.867525, 98.884799",9914,"https://www.google.com/maps?q=18.867525,98.884799",Renovated
2232,Bungalow,"2332 Moo 4, Chiang Mai",Omkoi,Nong Han,3,1,"18.951965, 98.930023",11290,"https://www.google.com/maps?q=18.951965,98.930023",Renovated
2233,Condo,"2333 Moo 5, Chiang Mai",Mae Rim,Mae Faek,4,1,"18.769129, 98.959078",12985,"https://www.google.com/maps?q=18.769129,98.959078",Investment opportunity
2234,Condo,"2334 Moo 4, Chiang Mai",San Sai,Nong Han,4,3,"18.691932, 98.920654",6784,"https://www.google.com/maps?q=18.691932,98.920654",Near market
2235,Apartment,"2335 Moo 8, Chiang Mai",Wiang Haeng,San Na Meng,3,1,"18.807496, 98.969209",9601,"https://www.google.com/maps?q=18.807496,98.969209",Price negotiable
2236,Villa,"2336 Moo 4, Chiang Mai",Mae On,Nong Han,3,2,"18.924076, 99.071274",8123,"https://www.google.com/maps?q=18.924076,99.071274",Price negotiable
2237,Bungalow,"2337 Moo 7, Chiang Mai",Hang Dong,Mae Faek,2,1,"18.7986, 99.015427",9566,"https://www.google.com/maps?q=18.7986,99.015427",Near school
2238,Condo,"2338 Moo 8, Chiang Mai",Mueang,Mae Faek,1,3,"18.816422, 98.841531",8668,"https://www.google.com/maps?q=18.816422,98.841531",Renovated
2239,Condo,"2339 Moo 7, Chiang Mai",Doi Tao,Nong Han,2,3,"18.695854, 99.01163",12902,"https://www.google.com/maps?q=18.695854,99.01163",Great view
2240,Bungalow,"2340 Moo 9, Chiang Mai",Mae Chaem,San Sai Luang,3,2,"18.919838, 98.807166",11954,"https://www.google.com/maps?q=18.919838,98.807166",Urgent sale
2241,Townhouse,"2341 Moo 4, Chiang Mai",Mae Ai,Mae Faek,3,1,"18.777229, 99.069954",11253,"https://www.google.com/maps?q=18.777229,99.069954",Near market
2242,Villa,"2342 Moo 4, Chiang Mai",Doi Saket,San Sai Luang,5,2,"18.865574, 98.890081",8401,"https://www.google.com/maps?q=18.865574,98.890081",Near school
2243,Townhouse,"2343 Moo 10, Chiang Mai",Hot,Nong Han,3,1,"18.877352, 99.080621",8242,"https://www.google.com/maps?q=18.877352,99.080621",New listing
2244,Apartment,"2344 Moo 10, Chiang Mai",Mae On,San Na Meng,4,3,"18.968522, 99.040863",10987,"https://www.google.com/maps?q=18.968522,99.040863",Urgent sale
2245,Detached,"2345 Moo 1, Chiang Mai",Chiang Dao,Mae Faek,2,2,"18.829367, 98.977705",9819,"https://www.google.com/maps?q=18.829367,98.977705",Price negotiable
2246,Detached,"2346 Moo 2, Chiang Mai",Chiang Dao,Mae Faek,5,1,"18.725527, 98.957953",9339,"https://www.google.com/maps?q=18.725527,98.957953",Price negotiable
2247,Condo,"2347 Moo 10, Chiang Mai",Saraphi,San Na Meng,5,3,"18.666021, 99.028419",8603,"https://www.google.com/maps?q=18.666021,99.028419",Price negotiable
2248,Townhouse,"2348 Moo 9, Chiang Mai",Doi Tao,Mae Faek,5,3,"18.934912, 98.864076",8349,"https://www.google.com/maps?q=18.934912,98.864076",Quiet area
2249,Townhouse,"2349 Moo 7, Chiang Mai",Saraphi,Mae Faek,2,1,"18.682524, 99.052393",9746,"https://www.google.com/maps?q=18.682524,99.052393",Renovated
2250,Condo,"2350 Moo 7, Chiang Mai",San Sai,San Na Meng,4,2,"18.945214, 98.957195",12818,"https://www.google.com/maps?q=18.945214,98.957195",Fully furnished
2251,Villa,"2351 Moo 10, Chiang Mai",Mae On,Mae Faek,4,2,"18.642966, 98.946557",11895,"https://www.google.com/maps?q=18.642966,98.946557",Near school
2252,Detached,"2352 Moo 2, Chiang Mai",Saraphi,San Na Meng,1,2,"18.915018, 98.927627",8918,"https://www.google.com/maps?q=18.915018,98.927627",Fully furnished
2253,Detached,"2353 Moo 5, Chiang Mai",Phrao,San Sai Luang,4,1,"18.916613, 98.839154",8922,"https://www.google.com/maps?q=18.916613,98.839154",Fully furnished
2254,Villa,"2354 Moo 6, Chiang Mai",Doi Saket,San Sai Luang,5,2,"18.802131, 98.887487",11402,"https://www.google.com/maps?q=18.802131,98.887487",Near school
2255,Villa,"2355 Moo 5, Chiang Mai",Mae Ai,San Na Meng,1,1,"18.705626, 99.045046",12854,"https://www.google.com/maps?q=18.705626,99.045046",Great view
2256,Apartment,"2356 Moo 7, Chiang Mai",Hot,Mae Faek,5,1,"18.654343, 99.070362",6989,"https://www.google.com/maps?q=18.654343,99.070362",Urgent sale
2257,Detached,"2357 Moo 4, Chiang Mai",Mae Wang,Mae Faek,3,3,"18.771496, 98.93712",8764,"https://www.google.com/maps?q=18.771496,98.93712",Urgent sale
2258,Villa,"2358 Moo 2, Chiang Mai",Mae Rim,San Na Meng,4,1,"18.964111, 98.880581",12144,"https://www.google.com/maps?q=18.964111,98.880581",Price negotiable
2259,Apartment,"2359 Moo 8, Chiang Mai",Chom Thong,Mae Faek,1,3,"18.844327, 98.872038",8424,"https://www.google.com/maps?q=18.844327,98.872038",Near market
2260,Apartment,"2360 Moo 9, Chiang Mai",Wiang Haeng,San Sai Luang,4,3,"18.798188, 98.993736",7265,"https://www.google.com/maps?q=18.798188,98.993736",Investment opportunity
2261,Condo,"2361 Moo 6, Chiang Mai",San Pa Tong,Mae Faek,2,2,"18.748412, 98.974755",11855,"https://www.google.com/maps?q=18.748412,98.974755",Fully furnished
2262,Villa,"2362 Moo 3, Chiang Mai",Doi Tao,San Sai Luang,3,2,"18.662188, 98.808762",7784,"https://www.google.com/maps?q=18.662188,98.808762",Investment opportunity
2263,Detached,"2363 Moo 9, Chiang Mai",Mae Rim,San Sai Luang,3,3,"18.904663, 98.853718",10843,"https://www.google.com/maps?q=18.904663,98.853718",Investment opportunity
2264,Apartment,"2364 Moo 2, Chiang Mai",Phrao,San Sai Luang,5,3,"18.785866, 99.080695",11512,"https://www.google.com/maps?q=18.785866,99.080695",Urgent sale
2265,Detached,"2365 Moo 2, Chiang Mai",San Sai,San Sai Luang,4,2,"18.946304, 98.821984",11906,"https://www.google.com/maps?q=18.946304,98.821984",Investment opportunity
2266,Townhouse,"2366 Moo 9, Chiang Mai",Mueang,San Sai Luang,1,1,"18.848813, 98.924663",7543,"https://www.google.com/maps?q=18.848813,98.924663",Near market
2267,Condo,"2367 Moo 1, Chiang Mai",San Sai,San Na Meng,3,2,"18.681508, 98.922537",12180,"https://www.google.com/maps?q=18.681508,98.922537",New listing
2268,Bungalow,"2368 Moo 7, Chiang Mai",Samoeng,Mae Faek,4,3,"18.663347, 99.018384",9986,"https://www.google.com/maps?q=18.663347,99.018384",Price negotiable
2269,Condo,"2369 Moo 5, Chiang Mai",Saraphi,Mae Faek,5,3,"18.869183, 99.060327",8984,"https://www.google.com/maps?q=18.869183,99.060327",New listing
2270,Townhouse,"2370 Moo 3, Chiang Mai",Doi Saket,Nong Han,3,3,"18.64272, 98.970959",10587,"https://www.google.com/maps?q=18.64272,98.970959",Renovated
2271,Villa,"2371 Moo 6, Chiang Mai",Mae Chaem,Mae Faek,5,2,"18.99575, 98.979848",9031,"https://www.google.com/maps?q=18.99575,98.979848",Urgent sale
2272,Condo,"2372 Moo 3, Chiang Mai",Phrao,Nong Han,3,1,"18.730488, 98.86016",12846,"https://www.google.com/maps?q=18.730488,98.86016",Urgent sale
2273,Detached,"2373 Moo 9, Chiang Mai",Mae Wang,Nong Han,4,2,"18.617534, 98.918776",10995,"https://www.google.com/maps?q=18.617534,98.918776",Fully furnished
2274,Villa,"2374 Moo 1, Chiang Mai",Mueang,San Na Meng,4,3,"18.724713, 98.961696",9332,"https://www.google.com/maps?q=18.724713,98.961696",Near school
2275,Apartment,"2375 Moo 4, Chiang Mai",Doi Saket,Mae Faek,4,1,"18.807351, 98.864032",8994,"https://www.google.com/maps?q=18.807351,98.864032",Price negotiable
2276,Bungalow,"2376 Moo 3, Chiang Mai",Doi Tao,Nong Han,4,2,"18.88021, 98.956051",12203,"https://www.google.com/maps?q=18.88021,98.956051",New listing
2277,Condo,"2377 Moo 4, Chiang Mai",Chiang Dao,Nong Han,5,3,"18.972386, 98.874137",7783,"https://www.google.com/maps?q=18.972386,98.874137",Renovated
2278,Condo,"2378 Moo 6, Chiang Mai",Samoeng,Nong Han,1,1,"18.903661, 99.044106",8724,"https://www.google.com/maps?q=18.903661,99.044106",Investment opportunity
2279,Villa,"2379 Moo 2, Chiang Mai",San Pa Tong,San Na Meng,3,2,"18.787883, 98.912559",8473,"https://www.google.com/maps?q=18.787883,98.912559",Near market
2280,Villa,"2380 Moo 3, Chiang Mai",Wiang Haeng,Mae Faek,5,1,"18.959955, 98.86587",6731,"https://www.google.com/maps?q=18.959955,98.86587",Renovated
2281,Apartment,"2381 Moo 9, Chiang Mai",Doi Tao,San Na Meng,5,3,"18.972796, 98.822824",8737,"https://www.google.com/maps?q=18.972796,98.822824",Great view
2282,Bungalow,"2382 Moo 10, Chiang Mai",Mueang,Mae Faek,1,3,"18.800736, 99.087439",12352,"https://www.google.com/maps?q=18.800736,99.087439",Fully furnished
2283,Villa,"2383 Moo 10, Chiang Mai",Mae Wang,Nong Han,4,2,"18.797015, 98.879241",10715,"https://www.google.com/maps?q=18.797015,98.879241",Investment opportunity
2284,Detached,"2384 Moo 1, Chiang Mai",Hot,San Sai Luang,5,1,"18.790494, 99.077709",8750,"https://www.google.com/maps?q=18.790494,99.077709",New listing
2285,Condo,"2385 Moo 3, Chiang Mai",Doi Lo,Mae Faek,5,2,"18.801657, 99.022831",8071,"https://www.google.com/maps?q=18.801657,99.022831",Investment opportunity
2286,Detached,"2386 Moo 6, Chiang Mai",Phrao,San Na Meng,3,1,"18.685849, 98.959275",12586,"https://www.google.com/maps?q=18.685849,98.959275",Price negotiable
2287,Villa,"2387 Moo 4, Chiang Mai",Mae Taeng,San Sai Luang,5,3,"18.883812, 99.0455",8888,"https://www.google.com/maps?q=18.883812,99.0455",Quiet area
2288,Bungalow,"2388 Moo 5, Chiang Mai",San Pa Tong,Nong Han,5,3,"18.614692, 99.079729",8970,"https://www.google.com/maps?q=18.614692,99.079729",Fully furnished
2289,Condo,"2389 Moo 1, Chiang Mai",Chiang Dao,San Na Meng,4,1,"18.91688, 98.921396",7163,"https://www.google.com/maps?q=18.91688,98.921396",Investment opportunity
2290,Villa,"2390 Moo 8, Chiang Mai",Phrao,Nong Han,5,2,"18.946288, 98.844043",10444,"https://www.google.com/maps?q=18.946288,98.844043",Price negotiable
2291,Apartment,"2391 Moo 9, Chiang Mai",San Kamphaeng,San Sai Luang,5,1,"18.684114, 98.829701",10763,"https://www.google.com/maps?q=18.684114,98.829701",Renovated
2292,Apartment,"2392 Moo 4, Chiang Mai",Wiang Haeng,Mae Faek,4,3,"18.720375, 99.08531",8775,"https://www.google.com/maps?q=18.720375,99.08531",Investment opportunity
2293,Bungalow,"2393 Moo 10, Chiang Mai",Samoeng,San Na Meng,4,2,"18.973631, 98.92483",9156,"https://www.google.com/maps?q=18.973631,98.92483",Investment opportunity
2294,Detached,"2394 Moo 6, Chiang Mai",San Sai,San Na Meng,1,2,"18.839623, 98.840465",6945,"https://www.google.com/maps?q=18.839623,98.840465",Renovated
2295,Townhouse,"2395 Moo 2, Chiang Mai",San Sai,San Na Meng,5,2,"18.640927, 98.938987",12788,"https://www.google.com/maps?q=18.640927,98.938987",Great view
2296,Detached,"2396 Moo 5, Chiang Mai",Mae Chaem,San Sai Luang,3,3,"18.759023, 98.996622",6785,"https://www.google.com/maps?q=18.759023,98.996622",Renovated
2297,Bungalow,"2397 Moo 7, Chiang Mai",Mueang,San Sai Luang,4,1,"18.611175, 98.94884",8747,"https://www.google.com/maps?q=18.611175,98.94884",New listing
2298,Townhouse,"2398 Moo 6, Chiang Mai",San Sai,San Na Meng,2,3,"18.965362, 99.060934",8408,"https://www.google.com/maps?q=18.965362,99.060934",Urgent sale
2299,Apartment,"2399 Moo 6, Chiang Mai",San Kamphaeng,San Na Meng,3,1,"18.644063, 99.085147",7401,"https://www.google.com/maps?q=18.644063,99.085147",Fully furnished
2300,Condo,"2400 Moo 10, Chiang Mai",San Kamphaeng,Mae Faek,4,1,"18.700351, 98.814248",11767,"https://www.google.com/maps?q=18.700351,98.814248",New listing
2301,Townhouse,"2401 Moo 2, Chiang Mai",Mae Taeng,Mae Faek,4,2,"18.622812, 98.926707",10432,"https://www.google.com/maps?q=18.622812,98.926707",New listing
2302,Villa,"2402 Moo 9, Chiang Mai",Samoeng,San Sai Luang,1,1,"18.736849, 99.091683",7596,"https://www.google.com/maps?q=18.736849,99.091683",Renovated
2303,Townhouse,"2403 Moo 3, Chiang Mai",Mae Wang,San Sai Luang,3,1,"18.879845, 99.032963",7583,"https://www.google.com/maps?q=18.879845,99.032963",New listing
2304,Bungalow,"2404 Moo 5, Chiang Mai",Mueang,Mae Faek,4,3,"18.974529, 98.936361",8027,"https://www.google.com/maps?q=18.974529,98.936361",Quiet area
2305,Detached,"2405 Moo 5, Chiang Mai",Mae Ai,San Sai Luang,2,3,"18.653457, 99.075203",9982,"https://www.google.com/maps?q=18.653457,99.075203",Fully furnished
2306,Condo,"2406 Moo 8, Chiang Mai",Samoeng,Mae Faek,1,3,"18.795785, 98.885292",12184,"https://www.google.com/maps?q=18.795785,98.885292",Fully furnished
2307,Villa,"2407 Moo 9, Chiang Mai",Hang Dong,San Sai Luang,3,3,"18.977981, 98.937542",9449,"https://www.google.com/maps?q=18.977981,98.937542",Quiet area
